feature,logistic_abs_coef,rf_importance
spot_count,0.3942146469310315,0.10695034154573874
mean_intensity,0.398119030966997,0.13144517095982836
total_intensity,0.398119030966997,0.09163604049172003
intensity_variance,0.16634156927140034,0.015360322233029758
area_covered_ratio,0.34133861304056795,0.08573444161885987
density_spots_per_10k_px,0.3942146469310313,0.10528834166666252
spot_area_mean,0.42484506894107393,0.08671837511207416
spot_area_std,0.8036674576121051,0.025686263050451356
spot_area_median,0.59923694289304,0.14093644148006967
spot_area_q25,0.7137394892090586,0.06921436390877471
spot_area_q75,0.907879554063768,0.02042706468590191
small_spot_fraction,0.36275973688978513,0.017368078813649816
medium_spot_fraction,0.5991619516733703,0.038179988867445495
large_spot_fraction,0.5699908710413141,0.06505476556579369
